attack_type,affected_system,attack_vector,timestamp,label,source_ip,destination_ip,port,protocol,severity_score,response_time,resolved,resolution_time,attack_description,industry,region,attack_duration,impact,mitigation_steps,attack_success
phishing,network,email,2023-07-29 16:07:00,high,192.168.1.87,10.0.0.56,8080,TCP,2,28,Yes,105,Ransomware attack via USB drive,retail,Europe,111,Data loss,Installed and updated antivirus software,No
malware,network,USB,2023-08-10 16:07:00,high,192.168.1.86,10.0.0.70,22,HTTP,2,50,Yes,65,Phishing email with malicious link,retail,North America,132,Data encrypted,Installed and updated antivirus software,No
spyware,email,network,2024-06-04 16:07:00,medium,192.168.1.89,10.0.0.44,22,HTTP,10,39,No,111,DDoS attack on network infrastructure,education,Asia,145,Confidential data breach,Regularly backup data and avoid clicking on suspicious links,Yes
ransomware,network,network,2023-09-26 16:07:00,critical,192.168.1.8,10.0.0.61,443,TCP,6,7,No,106,Spyware installed via web download,finance,Africa,5,Confidential data breach,Deployed DDoS protection services and monitor network traffic,No
ddos,email,email,2023-08-11 16:07:00,critical,192.168.1.78,10.0.0.51,22,SSH,2,43,Yes,69,Ransomware attack via USB drive,government,Europe,50,Data loss,Deployed DDoS protection services and monitor network traffic,Yes
phishing,email,web,2023-12-23 16:07:00,critical,192.168.1.5,10.0.0.32,443,SSH,6,44,Yes,81,DDoS attack on network infrastructure,retail,North America,131,Data encrypted,Regularly backup data and avoid clicking on suspicious links,Yes
spyware,email,USB,2023-10-23 16:07:00,high,192.168.1.52,10.0.0.99,443,TCP,6,29,No,107,Ransomware attack via USB drive,healthcare,South America,168,Confidential data breach,Implemented multi-factor authentication and user training,No
ransomware,application,web,2024-06-15 16:07:00,medium,192.168.1.32,10.0.0.62,22,SSH,6,45,No,46,Spyware installed via web download,healthcare,Europe,82,Data encrypted,Regularly backup data and avoid clicking on suspicious links,Yes
malware,email,network,2024-06-03 16:07:00,critical,192.168.1.93,10.0.0.12,443,TCP,10,39,Yes,114,Phishing email with malicious link,retail,South America,143,Confidential data breach,Implemented multi-factor authentication and user training,No
ransomware,email,email,2024-04-17 16:07:00,high,192.168.1.100,10.0.0.100,80,SSH,8,50,Yes,116,DDoS attack on network infrastructure,healthcare,North America,26,Service disruption,Deployed DDoS protection services and monitor network traffic,No
spyware,email,email,2024-03-04 16:07:00,critical,192.168.1.63,10.0.0.95,80,HTTP,1,38,No,19,Ransomware attack via USB drive,education,Africa,87,System downtime,Regularly backup data and avoid clicking on suspicious links,Yes
ddos,email,web,2024-05-04 16:07:00,medium,192.168.1.87,10.0.0.24,80,SSH,4,58,No,117,Phishing email with malicious link,healthcare,North America,123,Confidential data breach,Regularly backup data and avoid clicking on suspicious links,Yes
ransomware,network,network,2024-03-13 16:07:00,high,192.168.1.16,10.0.0.81,8080,TCP,4,51,Yes,65,DDoS attack on network infrastructure,retail,Africa,23,Data loss,Deployed DDoS protection services and monitor network traffic,Yes
ransomware,database,email,2023-12-25 16:07:00,medium,192.168.1.71,10.0.0.45,80,TCP,7,30,Yes,55,Spyware installed via web download,healthcare,Europe,97,Data encrypted,Implemented multi-factor authentication and user training,Yes
ddos,network,email,2023-12-18 16:07:00,medium,192.168.1.69,10.0.0.100,8080,HTTP,4,50,Yes,78,Web-based malware infection,education,North America,102,System downtime,Regularly backup data and avoid clicking on suspicious links,No
ddos,network,network,2024-04-30 16:07:00,high,192.168.1.57,10.0.0.28,443,HTTP,4,25,No,62,Ransomware attack via USB drive,healthcare,Europe,162,Data encrypted,Implemented multi-factor authentication and user training,Yes
phishing,application,web,2023-07-23 16:07:00,critical,192.168.1.93,10.0.0.91,22,TCP,9,16,Yes,97,Web-based malware infection,finance,South America,37,Data encrypted,Implemented multi-factor authentication and user training,No
spyware,email,email,2023-11-21 16:07:00,medium,192.168.1.67,10.0.0.27,443,HTTP,9,8,No,54,Spyware installed via web download,finance,Africa,173,System downtime,Implemented multi-factor authentication and user training,Yes
ddos,network,web,2023-09-27 16:07:00,high,192.168.1.58,10.0.0.34,443,TCP,4,23,No,42,Phishing email with malicious link,government,Africa,85,Service disruption,Installed and updated antivirus software,No
ddos,application,email,2024-04-11 16:07:00,high,192.168.1.80,10.0.0.33,22,HTTP,1,10,Yes,120,Phishing email with malicious link,education,Europe,29,Service disruption,Implemented multi-factor authentication and user training,No
malware,application,web,2023-10-17 16:07:00,medium,192.168.1.27,10.0.0.56,22,HTTP,6,30,No,110,Web-based malware infection,government,Africa,168,Data encrypted,Regularly backup data and avoid clicking on suspicious links,No
phishing,database,USB,2024-06-06 16:07:00,critical,192.168.1.43,10.0.0.68,443,SSH,4,36,No,105,Ransomware attack via USB drive,healthcare,Asia,61,System downtime,Installed and updated antivirus software,Yes
ransomware,network,email,2024-05-12 16:07:00,medium,192.168.1.50,10.0.0.76,443,SSH,2,27,No,11,Spyware installed via web download,healthcare,South America,176,Data encrypted,Implemented multi-factor authentication and user training,No
ransomware,network,web,2023-12-01 16:07:00,high,192.168.1.90,10.0.0.36,22,HTTP,3,53,Yes,111,Phishing email with malicious link,retail,Africa,17,System downtime,Deployed DDoS protection services and monitor network traffic,No
spyware,email,network,2023-09-14 16:07:00,critical,192.168.1.69,10.0.0.69,22,TCP,2,42,Yes,33,Spyware installed via web download,education,South America,66,Service disruption,Deployed DDoS protection services and monitor network traffic,No
malware,network,web,2024-05-07 16:07:00,medium,192.168.1.80,10.0.0.19,80,SSH,8,13,No,11,Ransomware attack via USB drive,healthcare,Europe,175,System downtime,Use anti-spyware tools and regularly scan for spyware,No
